,Canada,Mexico,US,Total North America,Argentina,Brazil,Colombia,Ecuador,Peru,Trinidad & Tobago,Venezuela,Other S. & Cent. America,Total S. & Cent. America,Italy,Romania,United Kingdom,Other Europe,Total Europe,Total CIS,Iran,Iraq,Kuwait,Qatar,Saudi Arabia,United Arab Emirates,Other Middle East,Total Middle East,Algeria,Angola,Republic of Congo ,Egypt,Gabon,Libya,Nigeria,Other Africa,Total Africa,Australia,Brunei,China,India,Indonesia,Malaysia,Other Asia Pacific,Total Asia Pacific,Total World,of which: OECD,                 Non-OECD,                 OPEC,                 Non-OPEC ,                 European Union #
1965,920,362,9014,10296,276,96,203,8,66,135,3503,47,4334,48,266,2,470,786,4858,1908,1313,2371,233,2219,282,61,8387,570,13,1,126,25,1220,274,2,2232,7,80,227,62,486,1,35,899,31792,10815,20977,13709,18083,699
1966,1012,370,9579,10961,293,117,199,7,66,153,3402,54,4291,39,271,2,487,798,5302,2132,1392,2505,291,2618,360,66,9364,734,13,1,122,29,1508,418,2,2842,9,96,292,96,474,1,34,1002,34561,11478,23083,15118,19443,697
1967,1106,411,10219,11736,319,147,192,6,74,179,3576,78,4571,37,279,2,507,824,5762,2603,1228,2522,324,2825,382,73,10014,843,11,1,109,69,1733,319,2,3133,21,104,279,117,510,1,31,1063,37104,12273,24831,16118,20986,705
1968,1194,439,10600,12233,348,161,176,5,77,191,3639,85,4682,35,280,2,518,834,6167,2840,1503,2656,340,3081,497,78,11256,922,15,1,166,93,2599,141,2,4007,39,122,320,120,599,4,35,1240,40418,12795,27623,17992,22426,702
1969,1306,461,10828,12595,362,176,214,4,75,157,3631,84,4702,34,281,2,530,847,6566,3376,1521,2819,356,3262,628,78,12420,969,50,^,239,101,3108,540,1,5087,45,124,437,139,642,9,36,1432,43649,13170,30479,20010,23639,698
1970,1473,487,11297,13257,399,167,226,4,75,140,3754,64,4829,32,284,4,528,847,7127,3848,1549,3036,363,3851,780,79,13922,1054,103,^,319,109,3357,1083,1,6113,176,136,616,140,854,18,40,1979,48075,13952,34123,22527,25548,694
1971,1582,486,11156,13224,432,175,224,4,64,129,3615,80,4723,29,292,5,509,841,7610,4572,1694,3253,430,4821,1060,76,16306,803,116,^,291,116,2750,1531,^,5694,315,129,791,148,892,69,42,2387,50785,14045,36741,24335,26450,677
1972,1829,506,11185,13520,444,171,203,78,67,141,3301,89,4494,25,298,8,504,871,8064,5059,1466,3339,482,6070,1203,71,18089,1081,143,6,208,126,2248,1816,1,5712,337,182,915,152,1081,93,44,2804,53554,14377,39177,25936,27618,668
1973,2114,525,10946,13585,434,174,192,209,73,166,3455,90,4792,23,304,9,509,880,8664,5907,2018,3080,570,7693,1533,69,21274,1129,166,41,165,152,2211,2054,1,6000,424,231,1077,148,1338,91,47,3356,58552,14530,44022,29648,28904,674
1974,1993,653,10461,13107,423,182,175,177,79,187,3060,86,4369,23,308,10,510,888,9270,6060,1977,2603,518,8618,1679,68,21941,1046,173,48,145,204,1558,2255,1,5517,420,198,1302,155,1375,81,47,3578,58671,14055,44616,29458,29213,686
1975,1735,806,10008,12549,406,177,164,161,73,216,2422,78,3697,27,311,34,508,1072,9916,5387,2271,2132,437,7216,1664,62,19701,1025,158,35,228,227,1514,1783,^,5068,451,187,1548,171,1306,98,48,3808,55811,13698,42112,25995,29816,714
1976,1598,894,9736,12228,408,172,153,188,77,212,2371,78,3659,28,313,254,494,1372,10466,5918,2422,2199,487,8762,1936,59,22352,1144,153,41,322,226,1972,2067,25,6028,461,217,1746,178,1504,167,62,4335,60440,13686,46754,29400,31040,929
1977,1608,1085,9863,12556,442,167,144,184,92,229,2314,68,3640,27,313,799,481,1917,11010,5714,2358,2024,435,9419,1999,59,22530,1225,143,32,407,226,2108,2085,24,6340,490,227,1880,210,1685,183,73,4748,62740,14587,48153,29830,32910,1462
1978,1597,1327,10274,13198,466,166,137,204,152,230,2227,66,3648,31,293,1127,490,2306,11531,5302,2574,2182,484,8554,1831,55,21475,1253,131,47,491,212,2023,1897,31,6189,490,240,2090,233,1635,216,72,4975,63322,15625,47697,28437,34886,1774
1979,1835,1607,10136,13578,487,172,129,216,193,214,2425,66,3902,36,265,1623,508,2848,11805,3218,3489,2623,506,9842,1831,51,22021,1283,146,54,509,196,2139,2302,55,6801,491,261,2132,265,1590,282,93,5113,66067,16558,49509,29762,36305,2247
